Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,5.0,0.0,1.0,3592144,0.0,186.0,0.5,2.0,0.5,1.0,154.0,112.5,1.5,5.0,101.0,3.5,0.0,0.0,0.5,0.0,0.0,135.0,204.0,78.0,51.6297095,636.0,0.0,348678,4.0,0.0,897.0,204.0,0,67.52316475190229,191.36,204.0,0.0,8908.0,873999,1107.65,0.0,209.6220856100956,1902.9267005793247,1046.0,0.0,2.5,0.0,0.0,26.8487655,0.0,5,0
2020-03-02,5.0,0.0,1.0,3592144,0.0,135.0,0.5,2.0,0.5,1.0,186.0,112.5,1.5,5.0,108.0,3.5,0.0,0.0,0.5,0.0,0.0,5.0,154.0,50.0,51.6297095,517.0,0.0,348678,4.0,0.0,1204.0,100.0,0,74.86461855540331,181.12,204.0,0.0,8389.0,873999,1018.62,0.0,205.8618161460614,1735.1669076995718,1046.0,0.0,2.5,0.0,0.0,26.8487655,0.0,5,0
2020-03-03,5.0,0.0,1.0,3592144,0.0,5.0,0.5,2.0,0.5,1.0,135.0,112.5,1.5,5.0,58.0,3.5,0.0,0.0,0.5,0.0,0.0,5.0,186.0,40.0,51.6297095,345.0,0.0,348678,4.0,0.0,1160.0,67.0,0,77.3063171222234,174.36,204.0,0.0,8389.0,873999,939.63,0.0,205.9201113172629,1592.3841641901531,1046.0,0.0,2.5,0.0,0.0,26.8487655,0.0,7,0
2020-03-04,5.0,0.0,1.0,3592144,0.0,5.0,0.0,1.0,0.0,1.0,5.0,112.5,1.0,5.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,135.0,204.0,48.296522,295.0,0.0,348678,0.0,0.0,787.0,305.0,0,81.02839008850654,168.66,204.0,0.0,8389.0,873999,902.5,0.0,206.4563609570017,1569.958646434704,1046.0,0.0,0.0,0.0,0.0,24.685185,0.0,10,0
2020-03-05,5.0,1.0,1.0,3592144,0.0,7.0,0.0,1.0,0.0,1.0,5.0,112.5,1.0,5.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,154.0,48.461805,363.0,0.0,348678,0.0,0.0,382.0,246.0,0,83.42634809153992,161.64,204.0,0.0,8389.0,873999,870.86,0.0,205.67943752457148,1555.4931143167444,1046.0,0.0,0.0,0.0,0.0,25.753086,0.0,12,0
2020-03-06,5.0,1.0,1.0,3592144,0.0,10.0,0.0,1.0,0.0,1.0,7.0,112.5,1.0,5.0,97.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,186.0,55.931505,356.0,0.0,348678,0.0,0.0,292.0,262.0,0,85.05527614637002,154.8,204.0,0.0,8389.0,873999,797.92,0.0,204.7686599107602,1415.290730599599,1046.0,0.0,0.0,0.0,0.0,25.530864,0.0,14,0
2020-03-07,5.0,1.0,1.0,3592144,0.0,12.0,0.0,1.0,0.0,1.0,10.0,112.5,1.0,5.0,109.0,3.0,0.0,0.0,1.0,0.0,0.0,14.0,7.0,135.0,62.154563,439.0,1.0,348678,0.0,0.0,856.0,202.0,0,72.66062666260281,146.4,186.0,0.0,8389.0,873999,738.29,0.0,201.4601798908373,1316.8611079672387,1046.0,0.0,0.0,0.0,0.0,22.709877,0.0,19,0
2020-03-08,5.0,1.0,1.0,3592144,0.0,14.0,0.0,1.0,0.0,1.0,12.0,112.5,1.0,5.0,97.0,3.0,0.0,0.0,1.0,0.0,0.0,19.0,10.0,5.0,69.55876,665.0,1.0,348678,0.0,0.0,820.0,176.0,0,64.51743950542091,133.34,186.0,0.0,8389.0,873999,681.95,0.0,187.8619347569594,1221.8658308446938,1046.0,0.0,0.0,0.0,0.0,15.944444,0.0,12,0
2020-03-09,5.0,1.0,1.0,3592144,0.0,19.0,0.0,1.0,0.0,1.0,14.0,112.5,1.0,5.0,112.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,5.0,55.828924,1046.0,1.0,348678,0.0,0.0,883.0,90.0,0,40.94020029672297,113.62,135.0,0.0,8389.0,873999,628.14,0.0,134.18687700069418,1124.7956853301444,752.0,0.0,0.0,0.0,0.0,18.395062,0.0,60,0
2020-03-10,5.0,1.0,1.0,3592144,0.0,12.0,0.0,1.0,0.0,1.0,19.0,112.5,1.0,5.0,62.0,3.0,0.0,0.0,1.0,0.0,0.0,60.0,14.0,7.0,58.712877,278.0,1.0,348678,0.0,0.0,1082.0,51.0,0,16.37375950525556,108.2,60.0,0.0,8389.0,873999,628.21,0.0,132.8784929082459,1124.7564162335425,752.0,0.0,0.0,0.0,0.0,19.438272,0.0,7,0
2020-03-11,5.0,1.0,1.0,3592144,0.0,60.0,0.0,1.0,0.0,1.0,12.0,112.5,1.0,5.0,28.0,3.0,0.0,0.0,1.0,1.0,5.0,7.0,19.0,10.0,78.298607,752.0,2.0,348678,0.0,2.0,711.0,282.0,0,16.127616077273345,93.62,60.0,0.0,8389.0,873999,628.44,0.0,95.54673821585514,1124.629001183486,573.0,0.0,0.0,0.0,0.0,20.561728,0.0,23,0
2020-03-12,7.0,1.0,1.0,3592144,0.0,7.0,0.0,1.0,0.0,1.0,60.0,112.5,1.0,5.0,31.0,3.0,1.0,0.0,1.0,1.0,5.0,23.0,12.0,12.0,67.353141,573.0,2.0,348678,0.0,2.0,205.0,180.0,0,18.5364505862334,83.16,60.0,0.0,4235.0,873999,545.05,0.0,66.07922270642287,807.9601497198291,262.0,0.0,0.0,0.0,0.0,22.746914,0.0,50,0
2020-03-13,7.0,1.0,1.0,3592144,0.0,23.0,0.0,1.0,0.0,1.0,7.0,112.5,1.0,5.0,87.0,3.0,1.0,0.0,2.0,1.0,5.0,50.0,60.0,14.0,63.251057,250.0,2.0,348678,0.0,2.0,268.0,220.0,0,22.814469100459046,79.52,68.0,0.0,4037.0,873999,503.38,0.0,61.55940883684768,718.2003853628098,262.0,0.0,0.0,0.0,0.0,22.290123,0.0,68,0
2020-03-14,7.0,1.0,1.0,3592144,0.0,50.0,0.0,1.0,0.0,1.0,23.0,112.5,1.0,5.0,126.0,3.0,1.0,0.0,2.0,1.0,5.0,68.0,7.0,19.0,65.255203,262.0,2.0,348678,0.0,2.0,730.0,212.0,0,24.130202382126992,75.5,68.0,0.0,4037.0,873999,463.81,0.0,55.68213357995197,625.6466181543826,204.0,0.0,0.0,0.0,0.0,18.833333,0.0,61,0
2020-03-15,7.0,1.0,1.0,3592144,0.0,68.0,0.0,1.0,0.0,1.0,50.0,112.5,1.0,5.0,87.0,3.0,1.0,0.0,2.0,1.0,5.0,61.0,23.0,12.0,67.708205,184.0,2.0,348678,0.0,2.0,983.0,155.0,0,30.25980098895556,73.76,97.0,0.0,2630.0,873999,424.41,0.0,53.5405854070526,512.1115151403343,204.0,0.0,0.0,0.0,0.0,16.271605,0.0,97,0
2020-03-16,7.0,1.0,1.0,3592144,0.0,61.0,1.0,1.0,0.0,1.0,68.0,112.5,2.0,5.0,74.0,3.0,1.0,0.0,2.0,1.0,5.0,97.0,50.0,60.0,85.070936,115.0,2.0,348678,0.0,4.0,764.0,61.0,0,35.484112255455244,73.66,110.0,0.0,2630.0,873999,412.17,0.0,53.46660601907776,504.72594934214425,204.0,0.0,0.0,0.0,0.0,13.783951,0.0,110,0
2020-03-17,7.0,1.0,1.0,3592144,0.0,97.0,1.0,1.0,0.0,2.0,61.0,112.5,2.0,5.0,80.0,3.0,3.0,0.0,3.0,2.0,5.0,110.0,68.0,7.0,81.490732,36.0,2.0,348678,0.0,4.0,1113.0,30.0,0,44.05753814050493,75.82,144.0,0.0,2630.0,873999,403.12,0.0,54.09201910289411,501.2938064687965,204.0,0.0,0.0,0.0,0.0,12.567901,0.0,144,0
2020-03-18,7.0,1.0,1.0,3592144,0.0,110.0,1.0,1.0,0.0,2.0,97.0,112.5,2.0,5.0,30.0,3.0,3.0,0.0,3.0,2.0,5.0,144.0,61.0,23.0,70.524124,17.0,2.0,348678,0.0,4.0,777.0,75.0,0,49.65760544078803,78.7,161.0,0.0,2630.0,873999,395.43,0.0,54.72612702912078,499.0228685473924,204.0,0.0,0.0,0.0,0.0,14.092593,0.0,161,0
2020-03-19,7.0,1.0,1.0,3592144,0.0,144.0,2.0,1.0,0.0,2.0,110.0,112.5,2.0,5.0,27.0,3.0,3.0,0.0,3.0,2.0,5.0,161.0,97.0,50.0,74.030846,153.0,2.0,348678,0.0,4.0,397.0,236.0,0,57.50603833320039,79.12,174.0,0.0,2630.0,873999,390.08,0.0,55.38460701217605,498.4947175590512,204.0,0.0,0.0,0.0,0.0,14.234568,0.0,174,0
