Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,North Carolina,0
2020-03-02,North Carolina,0
2020-03-03,North Carolina,1
2020-03-04,North Carolina,0
2020-03-05,North Carolina,0
2020-03-06,North Carolina,1
2020-03-07,North Carolina,0
2020-03-08,North Carolina,0
2020-03-09,North Carolina,5
2020-03-10,North Carolina,0
2020-03-11,North Carolina,1
2020-03-12,North Carolina,8
2020-03-13,North Carolina,2
2020-03-14,North Carolina,7
2020-03-15,North Carolina,7
2020-03-16,North Carolina,2
2020-03-17,North Carolina,8
2020-03-18,North Carolina,24
2020-03-19,North Carolina,38
2020-03-20,North Carolina,40
2020-03-21,North Carolina,40
2020-03-22,North Carolina,85
2020-03-23,North Carolina,33
2020-03-24,North Carolina,95
2020-03-25,North Carolina,165
2020-03-26,North Carolina,77
2020-03-27,North Carolina,145
2020-03-28,North Carolina,188
2020-03-29,North Carolina,194
2020-03-30,North Carolina,137
2020-03-31,North Carolina,224
2020-04-01,North Carolina,64
2020-04-02,North Carolina,267
2020-04-03,North Carolina,235
2020-04-04,North Carolina,309
2020-04-05,North Carolina,183
2020-04-06,North Carolina,285
2020-04-07,North Carolina,350
2020-04-08,North Carolina,203
2020-04-09,North Carolina,228
2020-04-10,North Carolina,255
2020-04-11,North Carolina,404
2020-04-12,North Carolina,210
2020-04-13,North Carolina,268
2020-04-14,North Carolina,204
2020-04-15,North Carolina,131
2020-04-16,North Carolina,340
2020-04-17,North Carolina,396
2020-04-18,North Carolina,281
2020-04-19,North Carolina,353
2020-04-20,North Carolina,271
2020-04-21,North Carolina,187
2020-04-22,North Carolina,269
2020-04-23,North Carolina,388
2020-04-24,North Carolina,444
2020-04-25,North Carolina,496
2020-04-26,North Carolina,282
2020-04-27,North Carolina,205
2020-04-28,North Carolina,533
2020-04-29,North Carolina,379
2020-04-30,North Carolina,560
2020-05-01,North Carolina,415
2020-05-02,North Carolina,592
2020-05-03,North Carolina,154
2020-05-04,North Carolina,203
2020-05-05,North Carolina,412
2020-05-06,North Carolina,500
2020-05-07,North Carolina,648
2020-05-08,North Carolina,448
2020-05-09,North Carolina,508
2020-05-10,North Carolina,396
2020-05-11,North Carolina,286
2020-05-12,North Carolina,333
2020-05-13,North Carolina,448
2020-05-14,North Carolina,743
2020-05-15,North Carolina,597
2020-05-16,North Carolina,819
2020-05-17,North Carolina,528
2020-05-18,North Carolina,584
2020-05-19,North Carolina,641
2020-05-20,North Carolina,459
2020-05-21,North Carolina,713
2020-05-22,North Carolina,727
2020-05-23,North Carolina,1070
2020-05-24,North Carolina,500
2020-05-25,North Carolina,766
2020-05-26,North Carolina,191
2020-05-27,North Carolina,599
2020-05-28,North Carolina,829
2020-05-29,North Carolina,1119
2020-05-30,North Carolina,1026
2020-05-31,North Carolina,925
2020-06-01,North Carolina,682
2020-06-02,North Carolina,684
2020-06-03,North Carolina,961
2020-06-04,North Carolina,1263
2020-06-05,North Carolina,1141
2020-06-06,North Carolina,1392
2020-06-07,North Carolina,854
2020-06-08,North Carolina,918
2020-06-09,North Carolina,812
2020-06-10,North Carolina,912
2020-06-11,North Carolina,1430
2020-06-12,North Carolina,1732
2020-06-13,North Carolina,1444
2020-06-14,North Carolina,1288
2020-06-15,North Carolina,1058
2020-06-16,North Carolina,848
2020-06-17,North Carolina,1037
2020-06-18,North Carolina,1284
2020-06-19,North Carolina,1588
2020-06-20,North Carolina,1626
2020-06-21,North Carolina,1214
2020-06-22,North Carolina,986
2020-06-23,North Carolina,986
2020-06-24,North Carolina,1437
2020-06-25,North Carolina,1277
2020-06-26,North Carolina,1717
2020-06-27,North Carolina,1452
2020-06-28,North Carolina,1469
2020-06-29,North Carolina,1514
2020-06-30,North Carolina,1372
2020-07-01,North Carolina,1751
2020-07-02,North Carolina,1697
2020-07-03,North Carolina,1939
2020-07-04,North Carolina,1284
2020-07-05,North Carolina,1361
2020-07-06,North Carolina,1837
2020-07-07,North Carolina,1255
2020-07-08,North Carolina,1473
2020-07-09,North Carolina,1903
2020-07-10,North Carolina,2173
2020-07-11,North Carolina,2259
2020-07-12,North Carolina,1835
2020-07-13,North Carolina,1822
2020-07-14,North Carolina,2114
2020-07-15,North Carolina,1806
2020-07-16,North Carolina,2084
2020-07-17,North Carolina,1976
2020-07-18,North Carolina,2434
2020-07-19,North Carolina,1774
2020-07-20,North Carolina,1335
2020-07-21,North Carolina,1871
2020-07-22,North Carolina,2091
2020-07-23,North Carolina,1912
2020-07-24,North Carolina,2156
2020-07-25,North Carolina,2076
2020-07-26,North Carolina,1520
2020-07-27,North Carolina,1810
2020-07-28,North Carolina,1688
2020-07-29,North Carolina,1727
2020-07-30,North Carolina,2364
2020-07-31,North Carolina,1979
2020-08-01,North Carolina,1645
2020-08-02,North Carolina,1266
2020-08-03,North Carolina,1467
2020-08-04,North Carolina,1488
2020-08-05,North Carolina,1218
2020-08-06,North Carolina,2024
2020-08-07,North Carolina,1555
2020-08-08,North Carolina,1882
2020-08-09,North Carolina,1335
2020-08-10,North Carolina,756
2020-08-11,North Carolina,1068
2020-08-12,North Carolina,1339
2020-08-13,North Carolina,1593
2020-08-14,North Carolina,1538
2020-08-15,North Carolina,1412
2020-08-16,North Carolina,1155
2020-08-17,North Carolina,831
2020-08-18,North Carolina,1199
2020-08-19,North Carolina,1350
2020-08-20,North Carolina,1931
2020-08-21,North Carolina,1922
2020-08-22,North Carolina,1622
2020-08-23,North Carolina,1424
2020-08-24,North Carolina,1537
2020-08-25,North Carolina,1258
2020-08-26,North Carolina,1523
2020-08-27,North Carolina,2007
2020-08-28,North Carolina,1439
2020-08-29,North Carolina,2379
2020-08-30,North Carolina,977
2020-08-31,North Carolina,1479
2020-09-01,North Carolina,1977
2020-09-02,North Carolina,1174
2020-09-03,North Carolina,1651
2020-09-04,North Carolina,2057
2020-09-05,North Carolina,1276
2020-09-06,North Carolina,1017
2020-09-07,North Carolina,1071
2020-09-08,North Carolina,938
